regiao,modo,mapa,pick,picks,vitorias,win_rate
EA,bounty,Dry Season,BULL,1,0,0.0%
EA,bounty,Dry Season,CROW,1,1,100.0%
EA,bounty,Dry Season,GRIFF,1,0,0.0%
EA,bounty,Dry Season,LEON,1,1,100.0%
EA,bounty,Dry Season,SPIKE,1,0,0.0%
EA,bounty,Dry Season,STU,1,1,100.0%
EA,bounty,Hideout,BELLE,5,4,80.0%
EA,bounty,Hideout,BO,1,1,100.0%
EA,bounty,Hideout,BROCK,2,0,0.0%
EA,bounty,Hideout,BYRON,5,1,20.0%
EA,bounty,Hideout,CHARLIE,4,3,75.0%
EA,bounty,Hideout,COLETTE,4,2,50.0%
EA,bounty,Hideout,CROW,2,0,0.0%
EA,bounty,Hideout,DAMIAN,1,0,0.0%
EA,bounty,Hideout,FANG,3,2,66.7%
EA,bounty,Hideout,GENE,7,4,57.1%
EA,bounty,Hideout,GLOWY,1,1,100.0%
EA,bounty,Hideout,GRAY,1,1,100.0%
EA,bounty,Hideout,GRIFF,2,1,50.0%
EA,bounty,Hideout,JAE-YONG,4,2,50.0%
EA,bounty,Hideout,KAZE,5,2,40.0%
EA,bounty,Hideout,KIT,3,3,100.0%
EA,bounty,Hideout,LEON,2,2,100.0%
EA,bounty,Hideout,LOLA,1,0,0.0%
EA,bounty,Hideout,LUMI,1,1,100.0%
EA,bounty,Hideout,MAX,2,0,0.0%
EA,bounty,Hideout,MEEPLE,1,0,0.0%
EA,bounty,Hideout,MICO,1,1,100.0%
EA,bounty,Hideout,MINA,2,2,100.0%
EA,bounty,Hideout,MORTIS,4,2,50.0%
EA,bounty,Hideout,NAJIA,1,0,0.0%
EA,bounty,Hideout,NANI,2,1,50.0%
EA,bounty,Hideout,OLLIE,2,1,50.0%
EA,bounty,Hideout,PIERCE,5,1,20.0%
EA,bounty,Hideout,PIPER,1,1,100.0%
EA,bounty,Hideout,POCO,1,0,0.0%
EA,bounty,Hideout,R-T,1,0,0.0%
EA,bounty,Hideout,RUFFS,3,1,33.3%
EA,bounty,Hideout,SIRIUS,2,2,100.0%
EA,bounty,Hideout,STU,2,0,0.0%
EA,bounty,Layer Cake,BELLE,1,1,100.0%
EA,bounty,Layer Cake,BROCK,1,0,0.0%
EA,bounty,Layer Cake,BULL,1,1,100.0%
EA,bounty,Layer Cake,BUSTER,1,0,0.0%
EA,bounty,Layer Cake,CARL,2,1,50.0%
EA,bounty,Layer Cake,CHARLIE,1,0,0.0%
EA,bounty,Layer Cake,CHESTER,1,1,100.0%
EA,bounty,Layer Cake,COLETTE,2,1,50.0%
EA,bounty,Layer Cake,CORDELIUS,1,1,100.0%
EA,bounty,Layer Cake,CROW,4,2,50.0%
EA,bounty,Layer Cake,DAMIAN,1,0,0.0%
EA,bounty,Layer Cake,EDGAR,2,0,0.0%
EA,bounty,Layer Cake,GENE,2,2,100.0%
EA,bounty,Layer Cake,GRIFF,2,1,50.0%
EA,bounty,Layer Cake,KAZE,2,1,50.0%
EA,bounty,Layer Cake,KENJI,3,1,33.3%
EA,bounty,Layer Cake,KIT,1,0,0.0%
EA,bounty,Layer Cake,LUMI,1,0,0.0%
EA,bounty,Layer Cake,MEEPLE,5,2,40.0%
EA,bounty,Layer Cake,MINA,2,1,50.0%
EA,bounty,Layer Cake,MORTIS,4,3,75.0%
EA,bounty,Layer Cake,NAJIA,2,2,100.0%
EA,bounty,Layer Cake,OTIS,1,0,0.0%
EA,bounty,Layer Cake,PIERCE,3,2,66.7%
EA,bounty,Layer Cake,RICO,1,1,100.0%
EA,bounty,Layer Cake,SIRIUS,1,1,100.0%
EA,bounty,Layer Cake,SPIKE,1,0,0.0%
EA,bounty,Layer Cake,SQUEAK,3,1,33.3%
EA,bounty,Layer Cake,STU,1,1,100.0%
EA,bounty,Layer Cake,ZIGGY,1,0,0.0%
EA,bounty,Shooting Star,8-BIT,1,1,100.0%
EA,bounty,Shooting Star,ANGELO,1,1,100.0%
EA,bounty,Shooting Star,BELLE,4,2,50.0%
EA,bounty,Shooting Star,BYRON,2,1,50.0%
EA,bounty,Shooting Star,CHARLIE,2,1,50.0%
EA,bounty,Shooting Star,DAMIAN,1,0,0.0%
EA,bounty,Shooting Star,EDGAR,2,0,0.0%
EA,bounty,Shooting Star,FANG,1,0,0.0%
EA,bounty,Shooting Star,GENE,5,1,20.0%
EA,bounty,Shooting Star,GUS,1,0,0.0%
EA,bounty,Shooting Star,JAE-YONG,2,1,50.0%
EA,bounty,Shooting Star,KAZE,3,2,66.7%
EA,bounty,Shooting Star,LEON,1,1,100.0%
EA,bounty,Shooting Star,MAX,1,1,100.0%
EA,bounty,Shooting Star,MINA,3,1,33.3%
EA,bounty,Shooting Star,MORTIS,3,3,100.0%
EA,bounty,Shooting Star,NAJIA,1,1,100.0%
EA,bounty,Shooting Star,NANI,5,1,20.0%
EA,bounty,Shooting Star,PENNY,2,1,50.0%
EA,bounty,Shooting Star,PIERCE,4,3,75.0%
EA,bounty,Shooting Star,R-T,5,3,60.0%
EA,bounty,Shooting Star,RUFFS,2,1,50.0%
EA,bounty,Shooting Star,SQUEAK,2,1,50.0%
EA,brawlBall,Backyard Bowl,8-BIT,2,2,100.0%
EA,brawlBall,Backyard Bowl,BROCK,1,0,0.0%
EA,brawlBall,Backyard Bowl,EVE,2,2,100.0%
EA,brawlBall,Backyard Bowl,FRANK,1,1,100.0%
EA,brawlBall,Backyard Bowl,GALE,1,0,0.0%
EA,brawlBall,Backyard Bowl,GRAY,1,0,0.0%
EA,brawlBall,Backyard Bowl,GRIFF,1,0,0.0%
EA,brawlBall,Backyard Bowl,LILY,1,1,100.0%
EA,brawlBall,Backyard Bowl,MANDY,1,0,0.0%
EA,brawlBall,Backyard Bowl,STU,1,0,0.0%
EA,brawlBall,Pinhole Punt,AMBER,1,0,0.0%
EA,brawlBall,Pinhole Punt,BUSTER,1,0,0.0%
EA,brawlBall,Pinhole Punt,BYRON,1,0,0.0%
EA,brawlBall,Pinhole Punt,CARL,1,1,100.0%
EA,brawlBall,Pinhole Punt,CHESTER,6,2,33.3%
EA,brawlBall,Pinhole Punt,COLETTE,2,0,0.0%
EA,brawlBall,Pinhole Punt,EDGAR,1,1,100.0%
EA,brawlBall,Pinhole Punt,EMZ,3,3,100.0%
EA,brawlBall,Pinhole Punt,FANG,1,1,100.0%
EA,brawlBall,Pinhole Punt,GALE,1,0,0.0%
EA,brawlBall,Pinhole Punt,JAE-YONG,1,0,0.0%
EA,brawlBall,Pinhole Punt,KENJI,3,1,33.3%
EA,brawlBall,Pinhole Punt,LEON,6,2,33.3%
EA,brawlBall,Pinhole Punt,LUMI,7,3,42.9%
EA,brawlBall,Pinhole Punt,MAISIE,1,1,100.0%
EA,brawlBall,Pinhole Punt,MEEPLE,7,3,42.9%
EA,brawlBall,Pinhole Punt,MINA,5,3,60.0%
EA,brawlBall,Pinhole Punt,MOE,2,1,50.0%
EA,brawlBall,Pinhole Punt,MORTIS,5,4,80.0%
EA,brawlBall,Pinhole Punt,NAJIA,2,2,100.0%
EA,brawlBall,Pinhole Punt,NITA,1,0,0.0%
EA,brawlBall,Pinhole Punt,OTIS,7,2,28.6%
EA,brawlBall,Pinhole Punt,PAM,2,1,50.0%
EA,brawlBall,Pinhole Punt,PIERCE,1,1,100.0%
EA,brawlBall,Pinhole Punt,POCO,1,0,0.0%
EA,brawlBall,Pinhole Punt,RUFFS,1,1,100.0%
EA,brawlBall,Pinhole Punt,SHADE,3,1,33.3%
EA,brawlBall,Pinhole Punt,SIRIUS,7,4,57.1%
EA,brawlBall,Pinhole Punt,SQUEAK,1,1,100.0%
EA,brawlBall,Pinhole Punt,STU,5,4,80.0%
EA,brawlBall,Pinhole Punt,TARA,1,0,0.0%
EA,brawlBall,Pinhole Punt,TRUNK,1,0,0.0%
EA,brawlBall,Pinhole Punt,ZIGGY,2,2,100.0%
EA,brawlBall,Sneaky Fields,BULL,3,3,100.0%
EA,brawlBall,Sneaky Fields,CHARLIE,2,1,50.0%
EA,brawlBall,Sneaky Fields,CHESTER,4,3,75.0%
EA,brawlBall,Sneaky Fields,COLETTE,1,0,0.0%
EA,brawlBall,Sneaky Fields,EDGAR,4,2,50.0%
EA,brawlBall,Sneaky Fields,EMZ,2,2,100.0%
EA,brawlBall,Sneaky Fields,FRANK,1,0,0.0%
EA,brawlBall,Sneaky Fields,GRIFF,1,1,100.0%
EA,brawlBall,Sneaky Fields,LUMI,1,0,0.0%
EA,brawlBall,Sneaky Fields,MAISIE,1,0,0.0%
EA,brawlBall,Sneaky Fields,MAX,1,1,100.0%
EA,brawlBall,Sneaky Fields,MEEPLE,3,1,33.3%
EA,brawlBall,Sneaky Fields,MOE,1,1,100.0%
EA,brawlBall,Sneaky Fields,NAJIA,1,0,0.0%
